Data,Temperatura,Umiditate,ValoareSenzorMq135,CalitateAer,IndiceConfort
2024-06-02 15:50:26,30.7,51.7,99859674.05260313,Calitate Foarte Buna a Aerului sub 300 ppm,79.49
2024-06-02 15:50:29,30.7,51.9,99860569.91922344,Calitate Foarte Buna a Aerului sub 300 ppm,79.52
2024-06-02 15:50:32,30.7,52.4,99859042.40383922,Calitate Foarte Buna a Aerului sub 300 ppm,79.60
2024-06-02 15:50:35,30.7,53.4,99860135.00224067,Calitate Foarte Buna a Aerului sub 300 ppm,79.76
2024-06-02 15:50:38,30.7,53.9,99858649.24639478,Calitate Foarte Buna a Aerului sub 300 ppm,79.84
2024-06-02 15:50:41,30.7,53.8,99860372.94821326,Calitate Foarte Buna a Aerului sub 300 ppm,79.83
2024-06-02 15:50:44,30.7,53.0,99860293.82530992,Calitate Foarte Buna a Aerului sub 300 ppm,79.70
2024-06-02 15:50:47,30.7,52.5,99858918.74861701,Calitate Foarte Buna a Aerului sub 300 ppm,79.62
2024-06-02 15:50:50,30.7,52.8,99858753.15849668,Calitate Foarte Buna a Aerului sub 300 ppm,79.66
2024-06-02 15:50:53,30.8,52.7,99860135.00224067,Calitate Foarte Buna a Aerului sub 300 ppm,79.78
2024-06-02 15:50:56,30.7,51.9,99860785.21790679,Calitate Foarte Buna a Aerului sub 300 ppm,79.52
2024-06-02 15:50:59,30.7,51.5,99860804.71984619,Calitate Foarte Buna a Aerului sub 300 ppm,79.45
2024-06-02 15:51:02,30.7,51.0,99859186.08988664,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:51:05,30.7,51.1,99859895.31391342,Calitate Foarte Buna a Aerului sub 300 ppm,79.39
2024-06-02 15:51:08,30.8,50.8,99859390.2828215,Calitate Foarte Buna a Aerului sub 300 ppm,79.47
2024-06-02 15:51:11,30.7,50.5,99860589.55091673,Calitate Foarte Buna a Aerului sub 300 ppm,79.29
2024-06-02 15:51:14,30.7,50.5,99860569.91922344,Calitate Foarte Buna a Aerului sub 300 ppm,79.29
2024-06-02 15:51:17,30.7,50.4,99859855.19511864,Calitate Foarte Buna a Aerului sub 300 ppm,79.28
2024-06-02 15:51:20,30.7,50.3,99860154.89735717,Calitate Foarte Buna a Aerului sub 300 ppm,79.26
2024-06-02 15:51:23,30.7,50.2,99859895.31391342,Calitate Foarte Buna a Aerului sub 300 ppm,79.25
2024-06-02 15:51:26,30.7,50.8,99859975.40479732,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:51:29,30.8,50.4,99862807.43031095,Calitate Foarte Buna a Aerului sub 300 ppm,79.41
2024-06-02 15:51:32,30.7,50.3,99860843.68853958,Calitate Foarte Buna a Aerului sub 300 ppm,79.26
2024-06-02 15:51:35,30.7,50.0,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,79.21
2024-06-02 15:51:38,30.7,49.8,99861460.87386528,Calitate Foarte Buna a Aerului sub 300 ppm,79.18
2024-06-02 15:51:41,30.7,49.9,99860882.6103896,Calitate Foarte Buna a Aerului sub 300 ppm,79.20
2024-06-02 15:51:44,30.7,50.4,99860254.19183181,Calitate Foarte Buna a Aerului sub 300 ppm,79.28
2024-06-02 15:51:47,30.7,50.8,99858856.74854822,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:51:50,30.8,50.9,99860055.30066934,Calitate Foarte Buna a Aerului sub 300 ppm,79.49
2024-06-02 15:51:53,30.7,50.9,99861095.84700285,Calitate Foarte Buna a Aerului sub 300 ppm,79.36
2024-06-02 15:51:56,30.7,50.7,99859935.3837765,Calitate Foarte Buna a Aerului sub 300 ppm,79.33
2024-06-02 15:51:59,30.8,51.4,99860609.17076078,Calitate Foarte Buna a Aerului sub 300 ppm,79.57
2024-06-02 15:52:02,30.8,51.5,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.59
2024-06-02 15:52:05,30.7,51.3,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.42
2024-06-02 15:52:08,30.7,50.9,99859653.86402343,Calitate Foarte Buna a Aerului sub 300 ppm,79.36
2024-06-02 15:52:11,30.8,51.1,99859855.19511864,Calitate Foarte Buna a Aerului sub 300 ppm,79.52
2024-06-02 15:52:14,30.8,51.4,99858877.4280441,Calitate Foarte Buna a Aerului sub 300 ppm,79.57
2024-06-02 15:52:17,30.8,51.8,99860921.48548079,Calitate Foarte Buna a Aerului sub 300 ppm,79.64
2024-06-02 15:52:20,30.7,51.9,99858230.3472572,Calitate Foarte Buna a Aerului sub 300 ppm,79.52
2024-06-02 15:52:23,30.7,52.0,99858856.74854822,Calitate Foarte Buna a Aerului sub 300 ppm,79.54
2024-06-02 15:52:26,30.7,51.7,99860589.55091673,Calitate Foarte Buna a Aerului sub 300 ppm,79.49
2024-06-02 15:52:29,30.8,51.3,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,79.55
2024-06-02 15:52:32,30.7,51.0,99860372.94821326,Calitate Foarte Buna a Aerului sub 300 ppm,79.37
2024-06-02 15:52:35,30.7,50.7,99860726.64159076,Calitate Foarte Buna a Aerului sub 300 ppm,79.33
2024-06-02 15:52:38,30.8,51.6,99859754.68346666,Calitate Foarte Buna a Aerului sub 300 ppm,79.60
2024-06-02 15:52:41,30.8,51.7,99860214.51021947,Calitate Foarte Buna a Aerului sub 300 ppm,79.62
2024-06-02 15:52:44,30.7,51.5,99860569.91922344,Calitate Foarte Buna a Aerului sub 300 ppm,79.45
2024-06-02 15:52:47,30.8,51.5,99859430.97083195,Calitate Foarte Buna a Aerului sub 300 ppm,79.59
2024-06-02 15:52:50,30.8,51.5,99859774.81037526,Calitate Foarte Buna a Aerului sub 300 ppm,79.59
2024-06-02 15:52:53,30.7,51.9,99859308.75650227,Calitate Foarte Buna a Aerului sub 300 ppm,79.52
2024-06-02 15:52:56,30.8,51.7,99860075.24425015,Calitate Foarte Buna a Aerului sub 300 ppm,79.62
2024-06-02 15:52:59,30.7,51.6,99859165.6013021,Calitate Foarte Buna a Aerului sub 300 ppm,79.47
2024-06-02 15:53:02,30.7,52.1,99859975.40479732,Calitate Foarte Buna a Aerului sub 300 ppm,79.55
2024-06-02 15:53:05,30.7,52.7,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.65
2024-06-02 15:53:08,30.8,52.9,99858314.54590818,Calitate Foarte Buna a Aerului sub 300 ppm,79.81
2024-06-02 15:53:11,30.7,52.9,99858690.84997763,Calitate Foarte Buna a Aerului sub 300 ppm,79.68
2024-06-02 15:53:14,30.7,52.6,99859124.5861863,Calitate Foarte Buna a Aerului sub 300 ppm,79.63
2024-06-02 15:53:17,30.8,52.3,99860095.17569828,Calitate Foarte Buna a Aerului sub 300 ppm,79.72
2024-06-02 15:53:20,30.8,52.1,99860940.90551817,Calitate Foarte Buna a Aerului sub 300 ppm,79.68
2024-06-02 15:53:23,30.7,51.5,99859104.05963162,Calitate Foarte Buna a Aerului sub 300 ppm,79.45
2024-06-02 15:53:26,30.8,51.2,99859369.92004634,Calitate Foarte Buna a Aerului sub 300 ppm,79.54
2024-06-02 15:53:29,30.8,50.4,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,79.41
2024-06-02 15:53:32,30.7,49.9,99861037.83104207,Calitate Foarte Buna a Aerului sub 300 ppm,79.20
2024-06-02 15:53:35,30.7,49.9,99860451.87962726,Calitate Foarte Buna a Aerului sub 300 ppm,79.20
2024-06-02 15:53:38,30.8,50.3,99860174.78038508,Calitate Foarte Buna a Aerului sub 300 ppm,79.39
2024-06-02 15:53:41,30.8,50.6,99860726.64159076,Calitate Foarte Buna a Aerului sub 300 ppm,79.44
2024-06-02 15:53:44,30.7,50.5,99860902.05377483,Calitate Foarte Buna a Aerului sub 300 ppm,79.29
2024-06-02 15:53:47,30.8,50.8,99859308.75650227,Calitate Foarte Buna a Aerului sub 300 ppm,79.47
2024-06-02 15:53:50,30.7,50.7,99859410.63307954,Calitate Foarte Buna a Aerului sub 300 ppm,79.33
2024-06-02 15:53:53,30.8,50.8,99859410.63307954,Calitate Foarte Buna a Aerului sub 300 ppm,79.47
2024-06-02 15:53:56,30.9,50.7,99859955.40038662,Calitate Foarte Buna a Aerului sub 300 ppm,79.59
2024-06-02 15:53:59,30.8,50.6,99860569.91922344,Calitate Foarte Buna a Aerului sub 300 ppm,79.44
2024-06-02 15:54:02,30.7,50.5,99860999.09572306,Calitate Foarte Buna a Aerului sub 300 ppm,79.29
2024-06-02 15:54:05,30.8,50.0,99860372.94821326,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
